#Approved Symbol	Previous Symbols	Synonyms
A1BG		
ATP1B4		
ATP1B1P1	ATP1BL1	
ATP2A1	ATP2A	SERCA1
ATP2A2	ATP2B, DAR	SERCA2
ATP2A3		SERCA3
ATP2B1		PMCA1
ATP2B2		PMCA2
ATP2B3		PMCA3
ATP2B4	ATP2B2, MXRA1	PMCA4
ATP4A		ATP6A
ATP4B		ATP6B
ATP5A1	ATP5AL2, ATPM	ATP5A, hATP1, OMR, ORM
ATP5A1P5	ATP5AL1	
ATP5A1P1	ATP5AP1	
ATP5A1P2	ATP5AP2	
ATP5A1P3	ATP5AP3	
ATP5B	ATPSB	
ATP5BP1	ATPSBL1, ATP5BL1	ATPMBL1
ATP5C1	ATP5CL1, ATP5C	
ATP5C1P1	ATP5CL2, ATP5C2	
ATP5D		
ATP5E		
ATP5EP1		
ATP5F1		
ATP5G1	ATP5G	
ATP5G2		
ATP5G3		
ATP5G2P1	ATP5GP1	
ATP5H		ATPQ, ATP5JD
ATP5I		
ATP5J	ATP5A, ATP5, ATPM	CF6
ATP5J2		F1Fo-ATPase, ATP5JL
ATP5J2LP		
ATP5O		OSCP, ATPO
ATP6V1A	VPP2, ATP6A1, ATP6V1A1	Vma1, VA68
ATP6V1B1	VPP3, ATP6B1	VATB, RTA1B, Vma2
ATP6V1B2	VPP3, ATP6B2	VATB, Vma2, HO57
ATP6V0C	ATPL, ATP6C, ATP6L	VATL, Vma3
ATP6V1C1	ATP6D, ATP6C	VATC, Vma5
ATP6V1E1	ATP6E, ATP6V1E	P31, Vma4, ATP6E2
ATP6V1E1P3	ATP6EL1, ATP6V1EL1	
ATP6V1E1P1	ATP6EP1, ATP6V1EP1	
ATP6V1E1P2	ATP6EP2, ATP6V1EP2	
ATP6V0B	ATP6F	VMA16, HATPL
ATP6V1G2	ATP6G, ATP6G2	Vma10, NG38, Em:AC004181.3
ATP6V0E1	ATP6H, ATP6V0E	M9.2
ATP6V1G1	ATP6J, ATP6G1	ATP6GL, Vma10, ATP6G, DKFZp547P234
ATP6V0A1	VPP1, ATP6N1, ATP6N1A	a1, Vph1, Stv1
